Country,Monthly Internet Cost (In USD),Median Speed (Mbps),Value (Cost per Mbps)
Romania,8.25,132.33,0.06
China,13.73,162.74,0.08
Moldova,9.14,94.72,0.10
Thailand,18.54,189.64,0.10
Ukraine,5.62,49.82,0.11
Russia,8.17,69.23,0.12
Hungary,12.95,98.37,0.13
Chile,28.06,200.01,0.14
Poland,12.70,90.42,0.14
Hong Kong,26.71,181.7,0.15
Vietnam,10.83,71.86,0.15
Lithuania,13.03,85.85,0.15
Singapore,32.22,207.61,0.16
Bulgaria,11.25,58.35,0.19
India,9.48,48.09,0.20
South Korea,21.31,105.38,0.20
Denmark,33.64,166.11,0.20
Belarus,10.46,47.81,0.22
Latvia,15.07,67.85,0.22
Brazil,21.00,91.82,0.23
Taiwan,25.34,106.19,0.24
Kuwait,27.97,110.81,0.25
Finland,24.58,92.73,0.27
France,30.61,110.42,0.28
Japan,36.52,123.98,0.29
Sweden,30.56,102.24,0.30
Turkey,8.77,29.09,0.30
Spain,39.27,129.61,0.30
Israel,28.57,93.01,0.31
Malaysia,27.26,84.78,0.32
Portugal,35.13,108.39,0.32
Kazakhstan,11.24,34.3,0.33
Slovakia,17.74,52.78,0.34
Nepal,14.51,42.08,0.34
Colombia,25.30,73.04,0.35
Kosovo,17.46,49.1,0.36
Egypt,15.38,39.75,0.39
Serbia,19.83,50.67,0.39
Malta,35.38,89.61,0.39
Uruguay,37.14,93.63,0.40
Netherlands,43.89,105.45,0.42
Czech Republic,20.57,48.37,0.43
New Zealand,52.69,121.93,0.43
Slovenia,35.16,79.34,0.44
Albania,16.93,38.17,0.44
Switzerland,55.49,124.74,0.44
United States,67.57,151.21,0.45
Panama,42.65,94.76,0.45
Germany,35.57,74.16,0.48
Armenia,17.73,36.44,0.49
Sri Lanka,9.48,19.29,0.49
Estonia,25.78,51.47,0.50
Montenegro,26.39,52.22,0.51
Uzbekistan,20.36,39.76,0.51
Norway,53.06,103.54,0.51
Argentina,23.00,43.04,0.53
North Macedonia,15.76,28.01,0.56
Italy,30.09,53.46,0.56
Jordan,39.50,69.47,0.57
Canada,63.16,106.82,0.59
Austria,35.76,60,0.60
United Kingdom,37.70,62.86,0.60
Luxembourg,56.46,92.96,0.61
Mexico,26.35,43.05,0.61
Belgium,50.20,81.3,0.62
Croatia,25.68,41.35,0.62
Peru,32.25,50.53,0.64
Trinidad And Tobago,49.48,76.66,0.65
Ireland,51.82,69.21,0.75
Philippines,42.44,55.21,0.77
United Arab Emirates,98.84,124.7,0.79
Saudi Arabia,70.75,86.64,0.82
Azerbaijan,16.64,20.28,0.82
Bosnia And Herzegovina,22.42,26.84,0.84
Costa Rica,46.57,51.92,0.90
Bangladesh,29.07,31.65,0.92
Greece,34.08,36.3,0.94
Qatar,92.04,94.25,0.98
Jamaica,38.58,37.34,1.03
Ecuador,41.56,40.12,1.04
Australia,53.59,51.34,1.04
Bahrain,56.70,48.22,1.18
Cyprus,36.42,30.16,1.21
Indonesia,32.17,21.43,1.50
Palestine,46.31,29.66,1.56
Oman,76.99,48.16,1.60
Mauritius,32.72,20.3,1.61
South Africa,53.52,30.64,1.75
Iraq,37.16,20.13,1.85
El Salvador,43.55,23.37,1.86
Iran,20.47,10.23,2.00
Guatemala,52.51,24.88,2.11
Ghana,49.66,22.79,2.18
Tunisia,18.39,8,2.30
Bolivia,57.34,24.68,2.32
Pakistan,22.11,9.41,2.35
Morocco,33.23,13.88,2.39
Honduras,72.28,26.26,2.75
Dominican Republic,52.03,16.14,3.22
Algeria,37.09,10.05,3.69
Venezuela,43.57,9.28,4.70
Nigeria,47.75,9.77,4.89
Kenya,47.01,8.54,5.50
Lebanon,53.69,7.91,6.79
